"","nodes"
"1","tunuyan.temp_min_T_2"
"2","agua_amarga.temp_max_T_2"
"3","agua_amarga.humedad_min_T_2"
"4","la_llave.temp_max_T_2"
"5","la_llave.humedad_min_T_2"
"6","junin.temp_med_T_1"
"7","tunuyan.humedad_max_T_1"
"8","tunuyan.temp_med_T_1"
"9","tunuyan.humedad_med_T_1"
"10","agua_amarga.temp_max_T_1"
"11","agua_amarga.temp_min_T_1"
"12","agua_amarga.humedad_min_T_1"
"13","las_paredes.temp_med_T_1"
"14","las_paredes.humedad_min_T_1"
"15","la_llave.temp_max_T_1"
"16","la_llave.temp_min_T_1"
"17","la_llave.humedad_min_T_1"
